attendance,is_federal_holiday,venue,on_grass,temperature,wind_speed,team1_name,team1_pre_win,team1_pre_loss,team1_pre_win_pct,team1_streak,team2_name,team2_pre_win,team2_pre_loss,team2_pre_win_pct,team2_streak,salary-500-800,salary-800-1500,salary-1500,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,month_April,month_August,month_July,month_June,month_March,month_May,month_November,month_October,month_September,weather_Cloudy,weather_Drizzle,weather_In Dome,weather_Overcast,weather_Rain,weather_Sunny,season_type,season,home_team_avg_att_last_year,start_hour,start_hour_label_afternoon,start_hour_label_evening,start_hour_label_night,start_hour_label_noon,game_page_url,start_time,previous_5_to_10MA,lle1,lle2
35400,0,Oracle Park,1,-0.9935455232453634,1.4908386759714407,LAD,1.1461281773725795,-0.3087448399850395,0.6796116504854369,1.1664063198458416,SFG,0.3947894948750861,0.5058592929745371,0.4903846153846153,-0.8425568458767296,-1.214714887193472,-1.5151941458939897,-0.3217994292534983,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,regular,2022,0.4336890538430954,18,0,1,0,0,https://www.baseball-reference.com/boxes/SFN/SFN202208030.shtml,2022-08-03 18:45:00,33982.2,0.006553244785456332,0.0043922164655913155
13084,0,PNC Park,1,1.4602059501605529,0.6988744996265769,MIL,0.6312207678305966,0.2214066167938015,0.5533980582524272,-0.7649071780096691,PIT,-0.0011099381006002,0.8730683284002905,0.3980582524271844,0.3344646910007815,-0.7276857833192146,-1.0828654206859984,-1.4727357866982391,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,regular,2022,-1.4981412546138186,19,0,1,0,0,https://www.baseball-reference.com/boxes/PIT/PIT202208030.shtml,2022-08-03 19:05:00,28597.8,0.01001925798002986,0.0011505283776797274
41734,0,Busch Stadium III,1,0.7995805534743445,-0.4890717648907186,CHC,-0.0025114285287673,0.8331198361540028,0.4019607843137255,-1.1511698775807713,STL,0.5531492680653606,0.301854273293563,0.5339805825242718,0.7268052032932852,-0.7276857833192146,-1.5151941458939897,0.0618460232280819,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,regular,2022,1.6608288029011082,12,0,0,0,1,https://www.baseball-reference.com/boxes/SLN/SLN202208041.shtml,2022-08-04 12:15:00,43995.6,0.008196364459340588,0.0030949668815385342
13485,0,PNC Park,1,1.271455836821636,-0.0930896767182867,MIL,0.6312207678305966,0.2621874980844816,0.5480769230769231,-1.1511698775807713,PIT,0.0384800051969683,0.8730683284002905,0.4038461538461538,0.7268052032932852,-0.7276857833192146,-1.5151941458939897,-1.4727357866982391,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,regular,2022,-1.4981412546138186,12,0,0,0,1,https://www.baseball-reference.com/boxes/PIT/PIT202208040.shtml,2022-08-04 12:35:00,25609.4,0.01051097634433749,-0.0002567605940869449
34640,0,Oracle Park,1,-0.6160452965675302,0.8968655437127928,LAD,1.1857364396450398,-0.3087448399850395,0.6826923076923077,1.5526690194169437,SFG,0.3947894948750861,0.5466602969107319,0.4857142857142857,-1.2348973581692333,-1.214714887193472,-1.0828654206859984,0.4454914757096622,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,regular,2022,0.4336890538430954,12,0,0,0,1,https://www.baseball-reference.com/boxes/SFN/SFN202208040.shtml,2022-08-04 12:45:00,34566.0,0.006893895523508912,0.004475565889093964
23849,0,Angel Stadium of Anaheim,1,0.8939556101438028,-0.0930896767182867,OAK,-0.0421196908012275,1.0370242426074032,0.3773584905660377,0.3938809207036373,LAA,0.1176598917921056,0.7914663205279008,0.4230769230769231,-0.4502163335842259,0.2463724244293002,-2.3798515963099725,-2.2400266916614,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,regular,2022,0.93439024078442,13,0,0,0,1,https://www.baseball-reference.com/boxes/ANA/ANA202208040.shtml,2022-08-04 13:07:00,37667.0,0.007938593526365076,0.0014272610321588177
30366,0,Petco Park,1,-0.1441700132202385,0.1049013673679291,COL,0.1955298828335338,0.8331198361540028,0.4299065420560747,-1.923695276722976,SDP,0.7906889278507725,0.2202522654211734,0.5700934579439252,1.9038267401707964,1.2204306321778151,-1.0828654206859984,-0.7054448817350786,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,regular,2022,-0.0608322252201233,13,0,0,0,1,https://www.baseball-reference.com/boxes/SDN/SDN202208040.shtml,2022-08-04 13:10:00,30090.6,0.006319425565237631,0.0031972795056197335
39030,0,Target Field,1,0.9883306668132612,-0.2910807208045027,TOR,0.6708290301030567,0.2214066167938015,0.5576923076923077,-0.3786444784385669,MIN,0.5531492680653606,0.3426552772297579,0.5288461538461539,0.3344646910007815,-0.2406566794449572,-0.2182079702700156,-1.4727357866982391,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,regular,2022,-0.208698949314617,18,0,1,0,0,https://www.baseball-reference.com/boxes/MIN/MIN202208040.shtml,2022-08-04 18:40:00,32946.4,0.007203053270651228,0.0031100877789983408
44669,0,Busch Stadium III,1,0.9883306668132612,-0.2910807208045027,CHC,-0.0025114285287673,0.8739007174446828,0.3980582524271844,-1.537432577151873,STL,0.5927392113629293,0.301854273293563,0.5384615384615384,1.119145715585789,-1.214714887193472,-1.5151941458939897,-0.7054448817350786,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,regular,2022,1.6608288029011082,18,0,1,0,0,https://www.baseball-reference.com/boxes/SLN/SLN202208042.shtml,2022-08-04 18:45:00,44277.4,0.00769738242011641,0.004738273404429146
20972,0,Globe Life Field,0,0.1389551567881363,-1.4790269853217983,CHW,0.4727877187407555,0.4253110232472019,0.5096153846153846,0.7801436202747395,TEX,0.1968397783872429,0.7098643126555112,0.4423076923076923,-1.2348973581692333,-1.214714887193472,-0.650536695478007,0.0618460232280819,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,regular,2022,-0.4791870529334436,19,0,1,0,0,https://www.baseball-reference.com/boxes/TEX/TEX202208040.shtml,2022-08-04 19:05:00,26952.2,0.009562945410300823,-0.0020454154767051646
